iter	Passed	Remaining
0	2	2216
1	3	1699
2	4	1422
3	5	1280
4	6	1203
5	6	1141
6	7	1096
7	8	1065
8	9	1038
9	10	1033
10	11	1025
11	12	1010
12	13	995
13	13	985
14	15	989
15	16	989
16	17	985
17	17	980
18	18	973
19	19	969
20	20	964
21	21	960
22	22	956
23	23	947
24	24	951
25	25	950
26	26	948
27	27	946
28	28	940
29	28	936
30	29	936
31	30	932
32	32	943
33	33	939
34	33	932
35	34	926
36	35	925
37	36	928
38	37	924
39	38	922
40	39	915
41	39	909
42	40	904
43	41	898
44	42	891
45	42	885
46	43	879
47	44	874
48	45	880
49	46	886
50	47	892
51	48	888
52	49	887
53	50	888
54	51	887
55	52	883
56	53	878
57	53	873
58	54	868
59	55	864
60	56	862
61	56	858
62	57	854
63	58	850
64	59	850
65	60	863
66	62	870
67	63	867
68	64	865
69	65	866
70	65	862
71	66	859
72	67	855
73	68	851
74	68	848
75	69	845
76	70	841
77	70	837
78	71	834
79	72	830
80	72	828
81	75	845
82	76	846
83	78	857
84	79	856
85	80	854
86	81	852
87	82	852
88	83	853
89	84	852
90	85	850
91	85	847
92	86	843
93	87	840
94	87	838
95	88	835
96	89	835
97	90	836
98	92	837
99	93	837
100	94	842
101	95	842
102	96	839
103	97	837
104	97	834
105	98	832
106	99	830
107	100	830
108	101	827
109	101	824
110	102	822
111	103	819
112	104	821
113	105	819
114	106	819
115	107	818
116	107	814
117	108	812
118	109	811
119	110	809
120	111	806
121	111	803
122	112	800
123	113	798
124	113	796
125	114	793
126	114	790
127	115	787
128	116	785
129	117	783
130	117	782
131	119	784
132	120	783
133	121	786
134	122	784
135	123	782
136	123	780
137	124	778
138	125	776
139	126	774
140	126	773
141	127	770
142	128	769
143	129	766
144	129	764
145	130	762
146	131	760
147	131	758
148	132	756
149	133	755
150	134	753
151	135	753
152	136	754
153	137	754
154	138	753
155	139	752
156	139	750
157	140	749
158	141	747
159	141	745
160	142	742
161	143	740
162	143	738
163	144	738
164	145	737
165	146	735
166	147	734
167	148	733
168	148	731
169	149	731
170	150	731
171	151	730
172	152	728
173	153	728
174	154	729
175	155	727
176	156	726
177	156	724
178	157	722
179	158	721
180	158	719
181	159	717
182	160	715
183	161	714
184	161	713
185	162	711
186	163	710
187	164	710
188	165	710
189	166	709
190	167	707
191	167	705
192	168	704
193	169	702
194	169	701
195	170	699
196	171	698
197	172	697
198	172	696
199	173	694
200	174	693
201	174	691
202	175	690
203	176	689
204	177	688
205	178	686
206	179	686
207	179	685
208	181	686
209	182	685
210	183	685
211	184	685
212	185	684
213	185	682
214	186	681
215	187	680
216	188	678
217	188	677
218	189	676
219	190	675
220	191	674
221	191	672
222	192	671
223	193	670
224	194	669
225	195	669
226	196	668
227	197	668
228	198	667
229	199	666
230	199	665
231	200	664
232	201	662
233	202	661
234	202	660
235	203	658
236	204	657
237	205	656
238	205	655
239	206	653
240	207	652
241	207	651
242	208	650
243	209	649
244	210	649
245	211	648
246	212	647
247	213	646
248	213	644
249	214	643
250	215	641
251	215	641
252	216	640
253	217	639
254	218	638
255	219	638
256	220	636
257	221	635
258	221	634
259	222	633
260	223	631
261	224	631
262	225	630
